Time,Signal,Result
0.000000,0.000000,-0.131170
1.000000,0.125333,-0.424932
2.000000,0.248690,-10737417.000000
3.000000,0.368125,-9663676.000000
4.000000,0.481754,-4402341.500000
5.000000,0.587785,-5465345.000000
6.000000,0.684547,-4768487.500000
7.000000,0.770513,-333826.125000
8.000000,0.844328,2235090.000000
9.000000,0.904827,3880815.500000
10.000000,0.951057,6889210.000000
11.000000,0.982287,9369382.000000
12.000000,0.998027,10483750.000000
13.000000,0.998027,11281584.000000
14.000000,0.982287,11503375.000000
15.000000,0.951056,10508062.000000
16.000000,0.904827,8651234.000000
17.000000,0.844328,6201381.500000
18.000000,0.770513,3046893.750000
19.000000,0.684547,-592360.500000
20.000000,0.587785,-4324577.000000
21.000000,0.481754,-7935284.000000
22.000000,0.368125,-11185451.000000
23.000000,0.248690,-13745340.000000
24.000000,0.125333,-15375625.000000
25.000000,0.000000,-15928339.000000
26.000000,-0.125333,-15285030.000000
27.000000,-0.248690,-13413602.000000
28.000000,-0.368125,-10399374.000000
29.000000,-0.481754,-6410110.500000
30.000000,-0.587785,-1689909.750000
31.000000,-0.684547,3436752.000000
32.000000,-0.770513,8594392.000000
33.000000,-0.844328,13388859.000000
34.000000,-0.904827,17429106.000000
35.000000,-0.951056,20357356.000000
36.000000,-0.982287,21882942.000000
37.000000,-0.998027,21807014.000000
38.000000,-0.998027,20041608.000000
39.000000,-0.982287,16624525.000000
40.000000,-0.951056,11723940.000000
41.000000,-0.904827,5632025.000000
42.000000,-0.844328,-1250087.250000
43.000000,-0.770513,-8436546.000000
44.000000,-0.684547,-15389750.000000
45.000000,-0.587785,-21558924.000000
46.000000,-0.481754,-26421692.000000
47.000000,-0.368125,-29526172.000000
48.000000,-0.248690,-30530070.000000
49.000000,-0.125333,-29233444.000000
50.000000,0.000000,-25602438.000000
51.000000,0.125333,-19781618.000000
52.000000,0.248690,-12093185.000000
53.000000,0.368125,-3022402.750000
54.000000,0.481754,6810380.500000
55.000000,0.587785,16689787.000000
56.000000,0.684547,25855170.000000
57.000000,0.770513,33556720.000000
58.000000,0.844328,39114084.000000
59.000000,0.904827,41972920.000000
60.000000,0.951057,41755104.000000
61.000000,0.982287,38298220.000000
62.000000,0.998027,31680718.000000
63.000000,0.998027,22229730.000000
64.000000,0.982287,10510457.000000
65.000000,0.951056,-2703690.000000
66.000000,0.904827,-16478778.000000
67.000000,0.844328,-29783104.000000
68.000000,0.770513,-41561232.000000
69.000000,0.684547,-50814168.000000
70.000000,0.587785,-56679840.000000
71.000000,0.481754,-58507644.000000
72.000000,0.368125,-55921120.000000
73.000000,0.248690,-48862960.000000
74.000000,0.125333,-37618016.000000
75.000000,0.000000,-22811222.000000
76.000000,-0.125333,-5379208.500000
77.000000,-0.248690,13484024.000000
78.000000,-0.368125,32404330.000000
79.000000,-0.481754,49923084.000000
80.000000,-0.587785,64604980.000000
81.000000,-0.684547,75150296.000000
82.000000,-0.770513,80503200.000000
83.000000,-0.844328,79947560.000000
84.000000,-0.904827,73182112.000000
85.000000,-0.951056,60367844.000000
86.000000,-0.982287,42142448.000000
87.000000,-0.998027,19598944.000000
88.000000,-0.998027,-5772308.000000
89.000000,-0.982287,-32175660.000000
90.000000,-0.951056,-57631096.000000
91.000000,-0.904827,-80116472.000000
92.000000,-0.844328,-97721336.000000
93.000000,-0.770513,-108801072.000000
94.000000,-0.684547,-112119384.000000
95.000000,-0.587785,-106967664.000000
96.000000,-0.481754,-93250552.000000
97.000000,-0.368125,-71528952.000000
98.000000,-0.248690,-43014888.000000
99.000000,-0.125333,-9515876.000000
